method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.1887514579866547,0.9114746034852248,0.912280701754386,133,16.0,1,2,log2,0.0001,133,16.0,16,72051,541.7368421052631
grid,1,0.2011409169936087,0.9114746034852248,0.912280701754386,133,16.0,1,2,log2,1e-05,133,16.0,16,72121,542.2631578947369
grid,1,0.1981328340043546,0.9114746034852248,0.912280701754386,133,16.0,1,2,log2,0.0,133,16.0,16,76441,574.7443609022556
grid,1,0.1906226669962052,0.9114132410872944,0.912280701754386,133,20.0,1,7,log2,0.0001,133,19.646616541353385,20,52877,397.57142857142856
grid,1,0.1823282919940538,0.9114132410872944,0.912280701754386,133,20.0,1,7,log2,1e-05,133,19.646616541353385,20,53311,400.83458646616543
grid,1,0.1878127080126432,0.9114132410872944,0.912280701754386,133,20.0,1,7,log2,0.0,133,19.646616541353385,20,55059,413.97744360902254
grid,1,0.2977859170059673,0.911331172678272,0.912280701754386,217,16.0,1,7,log2,0.0001,217,15.990783410138247,16,78507,361.7834101382488
grid,1,0.3055460000032326,0.911331172678272,0.912280701754386,217,16.0,1,7,log2,1e-05,217,15.990783410138247,16,79105,364.53917050691246
grid,1,0.293882666999707,0.911331172678272,0.912280701754386,217,16.0,1,7,log2,0.0,217,15.990783410138247,16,81557,375.8387096774194
grid,1,0.0933932499901857,0.9112129682771952,0.912280701754386,50,,1,2,log2,1e-05,50,24.48,31,31512,630.24
grid,1,0.0931920000002719,0.9112129682771952,0.912280701754386,50,,1,2,log2,0.0001,50,24.48,31,31512,630.24
grid,1,0.0828050410054856,0.9112129682771952,0.912280701754386,50,,1,2,log2,0.0,50,24.54,31,33528,670.56
grid,1,0.0930538340035127,0.9111528246276012,0.912280701754386,50,16.0,1,7,sqrt,0.0001,50,16.0,16,15100,302.0
grid,1,0.3380430000106571,0.9110566280302198,0.912280701754386,217,16.0,1,10,sqrt,0.0001,217,15.990783410138247,16,59467,274.0414746543779
grid,1,0.3458122919982997,0.9110566280302198,0.912280701754386,217,16.0,1,10,sqrt,1e-05,217,15.995391705069125,16,59923,276.14285714285717
grid,1,0.3321155830053612,0.9110566280302198,0.912280701754386,217,16.0,1,10,sqrt,0.0,217,15.995391705069125,16,61999,285.7096774193548
