method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.21687949998886324,0.9133560673878194,0.9142300194931774,133,16.0,1,2,sqrt,0.001,133,15.984962406015038,16,36075,271.2406015037594
grid,1,0.08285591599997133,0.9133086686378327,0.9142300194931774,50,,1,7,log2,0.0001,50,22.88,29,20190,403.8
grid,1,0.6369529579969821,0.9132185039724086,0.9142300194931774,133,20.0,1,7,0.5,0.0001,133,19.94736842105263,20,28539,214.57894736842104
grid,1,0.6394904589978978,0.9132185039724086,0.9142300194931774,133,20.0,1,7,0.5,1e-05,133,19.94736842105263,20,28559,214.72932330827066
grid,1,0.638364416998229,0.9132185039724086,0.9142300194931774,133,20.0,1,7,0.5,0.0,133,19.94736842105263,20,29981,225.42105263157896
grid,1,0.09757758300111163,0.9131383179380556,0.9142300194931774,50,16.0,1,7,sqrt,1e-05,50,16.0,16,15190,303.8
grid,1,0.0969367079960648,0.9131383179380556,0.9142300194931774,50,16.0,1,7,sqrt,0.0,50,16.0,16,15690,313.8
grid,1,0.19254950000322424,0.9131140934883967,0.9142300194931774,133,,1,7,log2,0.0001,133,22.23308270676692,30,54179,407.3609022556391
grid,1,0.1965309579973109,0.9131140934883967,0.9142300194931774,133,,1,7,log2,1e-05,133,22.25563909774436,30,54597,410.50375939849624
grid,1,0.18686225000419654,0.9131140934883967,0.9142300194931774,133,,1,7,log2,0.0,133,22.30827067669173,30,56391,423.9924812030075
grid,1,0.6434668750007404,0.913065135022791,0.9142300194931774,133,20.0,1,10,0.5,0.0001,133,20.0,20,26027,195.69172932330827
grid,1,0.6322525829891674,0.913065135022791,0.9142300194931774,133,20.0,1,10,0.5,1e-05,133,20.0,20,26055,195.90225563909775
grid,1,0.6439506660099141,0.913065135022791,0.9142300194931774,133,20.0,1,10,0.5,0.0,133,20.0,20,27315,205.37593984962405
grid,1,0.22051445800752845,0.9127170665519174,0.9142300194931774,133,20.0,1,7,sqrt,0.0001,133,19.81203007518797,20,46115,346.7293233082707
grid,1,0.0953166660037823,0.9126895942700358,0.9142300194931774,50,,1,5,sqrt,0.001,50,21.62,32,14574,291.48
grid,1,0.20993675000499934,0.9126289272617321,0.9142300194931774,133,20.0,1,7,sqrt,1e-05,133,19.81203007518797,20,46353,348.5187969924812
grid,1,0.21634629199979827,0.9126289272617321,0.9142300194931774,133,20.0,1,7,sqrt,0.0,133,19.81203007518797,20,47941,360.45864661654133
grid,1,0.0809955419972539,0.9122491331157222,0.9122807017543859,50,12.0,1,5,log2,0.0001,50,12.0,12,14638,292.76
grid,1,0.0834134580072714,0.9122491331157222,0.9122807017543859,50,12.0,1,5,log2,1e-05,50,12.0,12,14696,293.92
grid,1,0.08538929199858103,0.9122491331157222,0.9122807017543859,50,12.0,1,5,log2,0.0,50,12.0,12,15166,303.32
grid,1,0.09558591699169483,0.9117010853405066,0.9122807017543859,50,,1,10,sqrt,0.0001,50,23.04,30,15336,306.72
grid,1,0.0961574160028249,0.9117010853405066,0.9122807017543859,50,,1,10,sqrt,1e-05,50,23.08,30,15456,309.12
grid,1,0.09261875000083819,0.9117010853405066,0.9122807017543859,50,,1,10,sqrt,0.0,50,23.12,30,16026,320.52
grid,1,0.20913120899058413,0.9115331792261476,0.9122807017543859,133,,1,10,sqrt,0.0001,133,22.86466165413534,33,40957,307.94736842105266
grid,1,0.2098820419923868,0.9115331792261476,0.9122807017543859,133,,1,10,sqrt,1e-05,133,22.917293233082706,33,41325,310.7142857142857
grid,1,0.22845016699284315,0.9115331792261476,0.9122807017543859,133,,1,10,sqrt,0.0,133,22.977443609022558,33,42799,321.796992481203
grid,1,0.1887514579866547,0.9114746034852247,0.9122807017543859,133,16.0,1,2,log2,0.0001,133,16.0,16,72051,541.7368421052631
